"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"233","Next Infy boss could be a nuts-and-bolts guy, not a global poster boy https://t.co/0E6m2iTXUw",FALSE,0,NA,2017-08-19 19:12:13,FALSE,NA,"898985977233850368",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ETNewsUpdates",0,FALSE,FALSE,NA,NA
"234","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-19 19:01:31,FALSE,NA,"898983283521855488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandeep_Kamboz",24,TRUE,FALSE,NA,NA
"235","RT @SumanaMandal9: #OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/lSyjmu5nPJ",FALSE,0,NA,2017-08-19 19:01:26,FALSE,NA,"898983259509583872",NA,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","Hi_Im_Rover",1,TRUE,FALSE,NA,NA
"236","#OneIndiaOneGST <ed><U+00A0><U+00BD><ed><U+00B1><U+008D>  Artificial Intelligence and robotics: Will exit affect Infy's tech edge?... https://t.co/lSyjmu5nPJ",FALSE,0,NA,2017-08-19 19:00:30,FALSE,NA,"898983027967107073",NA,"<a href=""https://www.newswallet.co/"" rel=""nofollow"">News-Wallet-App - Android</a>","SumanaMandal9",1,FALSE,FALSE,NA,NA
"237","Infosys Limited $INFY Given Hold Rating at Stifel Nicolaus https://t.co/YHiObZKxuQ",FALSE,0,NA,2017-08-19 18:57:34,FALSE,NA,"898982288393940993",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","SleekMoneycom",0,FALSE,FALSE,NA,NA
"238","Infosys gives up its American Dream - Horses for Sources https://t.co/TUNJW2NQ7J",FALSE,2,NA,2017-08-19 18:55:10,FALSE,NA,"898981683889922048",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Kellblog",0,FALSE,FALSE,NA,NA
"239","RT @lopamudra309: #Infy  CEO Vishal Sikka resigns ...#Infosys 

and I am resigning #Twitter  <ed><U+00A0><U+00BD><ed><U+00B9><U+008B>",FALSE,0,NA,2017-08-19 18:55:02,FALSE,NA,"898981651002175488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mahanaatma1",24,TRUE,FALSE,NA,NA
"240","Infosys gives up its American Dream - Horses for Sources https://t.co/M1taFlzK7M, see more https://t.co/srtXKCwyfI",FALSE,0,NA,2017-08-19 18:42:31,FALSE,NA,"898978502103281664",NA,"<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","MarketsWatcher",0,FALSE,FALSE,NA,NA
"241","RT @PKGulati: Artificial Intelligence and robotics: Will Vishal Sikka's exit affect Infy's tech edge? https://t.co/oJhbu2gvJD",FALSE,0,NA,2017-08-19 18:29:02,FALSE,NA,"898975108831690752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Akshay001",1,TRUE,FALSE,NA,NA
"242","RT @rohtakites: @jainsanjay70 @Swamy39 @Infosys @jayantsinha We must not reveal how drastically Infy failed on its bid promises &amp; FM pitche…",FALSE,0,NA,2017-08-19 18:07:48,FALSE,NA,"898969766123126786",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","varunk1996",5,TRUE,FALSE,NA,NA
"243","RT @DeependerSHooda: As one who started out as Software Engineer at @Infosys, I feel sad at ongoing. Infy needs to preserve what it stood f…",FALSE,0,NA,2017-08-19 17:48:39,FALSE,NA,"898964945647280128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnoopSDalal",125,TRUE,FALSE,NA,NA
